Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);36,9 %;38,5 %;33,8 %;43,6 %;31,5 %;34,2 %;45,6;46,5
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Antall kvalifiserte;829;693;701;760;800;847;45,6;46,5
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Antall tilbud;240;220;214;250;250;260;45,6;46,5
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Alle søkere;2226;1872;2108;2394;2320;2603;48,8;50,9
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere;443;369;431;485;501;507;48,8;50,9
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Studieplasser;150;150;150;150;150;150;48,8;50,9
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);38,1 %;37,9 %;37,8 %;39,4 %;40,7 %;41,2 %;48,8;50,9
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Antall kvalifiserte;2150;1800;2007;2281;2202;2505;48,8;50,9
Universitetet i Agder;201369;Økonomi og administrasjon;Kristiansand;Økonomisk-administrative fag;Antall tilbud;328;300;300;300;300;290;48,8;50,9
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Alle søkere;1019;907;743;974;786;992;43,3;44,6
Universitetet i Innlandet;209035;Økonomi og administrasjon, Lillehammer, bachelor;Lillehammer;Økonomisk-administrative fag;Førstevalgssøkere;132;110;114;129;120;137;43,3;44,6
